,id,title,episode,title_song_merged,artist_name_artists_merged,year_year_merged
112,488141,its only time: bonus dvd,,found a way,drake bell,2006.0
113,346532,american graffiti,,why do fools fall in love,frankie lymon+morris levy,1973.0
114,346532,american graffiti,,why do fools fall in love,frankie lymon+morris levy,1973.0
115,373762,boot camp,,i want to love you in my room,irving,2008.0
116,395291,colección privada - tour minage,,amando locamente,l. cantini+l. lópez+p. casella+mónica naranjo,2005.0
117,323146,yu-gi-oh! the abridged series,the incredible hobson (#3.3),sexyback,justin timberlake+tim mosley+nate hills,2006.0
118,146278,mad men,nixon vs. kennedy (#1.12),gopher mambo,billy may+conrad gozzo+yma sumac,2007.0
119,182231,playing the field,(#4.4),is she really going out with him?,joe jackson,1998.0
120,469955,high fidelity,,youre gonna miss me,roky erickson+13th floor elevators+arrangement with celebrity licensing inc.,2000.0
121,197089,rockpalast,marilyn manson - 11. bizarre festival köln 1997,get your gunn,marilyn manson,1974.0
122,720913,what a day!,,animals have personality,charlotte diamond,1993.0
123,171832,one hit wonderland,monster mash (#1.9),mashed potato time,william garrett+robert bateman+georgia dobbins+brian holland+freddie gorman+dee dee sharp,2012.0
124,153040,miami vice,line of fire (#5.6),only the good die young,steve harris+bruce dickinson+iron maiden,1984.0
125,203042,saturday night live,roseanne/green day (#20.7),geek stink breath,green day,1975.0
126,104309,guapas,algo que esconder (#1.20),self control,giancarlo bigazzi+steve piccolo+raffaele riefoli+laura branigan,2014.0
127,363785,behind enemy lines,,thats all right,arthur crudup+orion,2001.0
128,30753,big love,robertas funeral (#1.6),will you miss me when im gone?,a.p. carter+june carter cash,2006.0
129,299790,top of the pops,(1978-06-22),dancing in the city,julian marshall+kit hain,1964.0
130,182054,planet money makes a t-shirt,boxes (#1.4),stay golden,au revoir simone,2013.0
131,88830,festival internacional de la canción de viña del mar,viña 2014: noche 1,la bomba,ricky martin,1963.0
132,475753,house of boys,,help me make it through the night,kris kristofferson+romy haag,2009.0
133,76468,drake & josh,whos got game? (#4.5),found a way,drake bell+michael corcoran,2004.0
134,98449,glee,dream on (#1.19),daydream believer,john stewart+neil patrick harris+molly mccook,2009.0
135,434047,evil bong,,bong toke,brad xavier+dustin miller+timothy mcnutt+mike kumagai+kottonmouth kings,2006.0
