L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A,AB,B,BC,C,D,F,S,,U,CR,N,P,,I,,NW,NR,Other,,,,,
Comp Mthds for Med Image Anlys,767 001,15,3.767,66.7,20,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Human-Computer Interaction,770 001,25,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Advanced Algorithms,787 001,30,3.655,40,46.7,10,0,0,0,0,0,0,0,0,0,3.3,0,0,0,,,,,,,,
,790 018,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,790 029,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
Master's Thesis,Course Total,2,***,,,,,,,,,,,,,,,,,,,,,,,,
,799 002,2,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 003,5,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 005,6,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 006,9,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 007,2,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 008,4,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 012,10,,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,,,,,,,,
,799 018,8,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 019,4,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 020,2,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 021,8,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 023,3,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 028,2,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 029,5,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 032,2,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 033,7,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 035,6,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 040,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 061,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 076,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 082,3,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 085,4,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 086,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 090,7,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
,799 091,1,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 095,2,***,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,
,799 097,6,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,,,,,,,,
L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A,,AB,,B,,BC,C,,D,,F,,S,U,CR,N,P,,I,,NW,NR,Other
266 COMP SCI,Grades,,GPA,,,,,,,,,,,,,,,,,,,,,,,,
,799 101,4,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,799 112,4,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,799 120,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,799 124,3,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,799 127,4,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,799 128,7,,0,,0,,0,,0,0,,0,,0,,100,0,0,0,0,,0,,0,0,0
,799 129,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
Master's Research,Course Total,137,,0,,0,,0,,0,,0,,0,,0,99.3,0.7,0,0,,0,,0,0,0,0
,838 001,83,3.855,79.5,,12,,8.4,,0,0,,0,,0,,0,0,0,0,0,,0,,0,0,0
,838 002,6,3.75,66.7,,16.7,,16.7,,0,0,,0,,0,,0,0,0,0,0,,0,,0,0,0
Topics in Computing,Course Total,89,3.848,78.7,,12.4,,9,,0,,0,,0,,0,0,0,0,0,,0,,0,0,0,0
,899 003,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 004,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 005,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 006,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 007,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 008,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 012,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 013,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 020,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 021,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 023,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 029,4,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 032,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 033,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 034,3,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 035,3,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 082,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 085,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 090,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 091,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 111,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 112,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 128,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,899 130,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
Pre-Dissertator Research,Course Total,37,,0,,0,,0,,0,,0,,0,,0,100,0,0,0,,0,,0,0,0,0
Adv Seminar - Computer Science,900 002,59,4,98.3,,0,,0,,0,0,,0,,0,,1.7,0,0,0,0,,0,,0,0,0
Computn&Informatcs in Biol&Med,915 001,3,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 002,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 003,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 005,4,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 007,1,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 008,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 010,3,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
,990 012,2,***,,,,,,,,,,,,,,,,0,0,0,,0,,0,0,0
L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A,,AB,,B,,BC,C,,D,,F,,S,U,CR,N,P,I,,NW,NR,Other,
266 COMP SCI,Grades,,GPA,,,,,,,,,,,,,,,,,,,,,,,,
,990 013,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 015,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 018,2,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 019,2,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 020,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 021,2,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 022,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 025,3,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 028,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 032,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 033,2,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 034,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 035,4,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 076,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 085,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 086,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 090,2,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 095,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 101,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 120,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,990 130,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
Dissertation,Course Total,46,,,0,,0,,0,0,,0,,0,,0,95.7,0,0,0,4.3,,0,0,0,0,
,999 012,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,999 018,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,999 025,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
,999 085,1,***,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,
TERM : 1172,,,,Percentage Distribution of Grades,,,,,,,,Office of the Registrar,,,,,,,,,,,,,,,
Fall 2016-2017,,,,University of Wisconsin - Madison,,,,,,,,,,,,,,,,,,,,,,,
,,,,(Non-Cross Listed),,,,,,,,,,,,,,,,,,,,,,,
L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A AB B BC C D,F,S,U,CR,N,P,I,NW NR Other,,,,,,,,,,,,,,,
266 COMP SCI,,Grades,GPA,,,,,,,,,,,,,,,,,,,,,,,,
266 COMP SCI,Dept. Total,5297,3.21,34.3 16.9 21.3 9.4 7.4 2.1,1.7,4.5,0.1,1.6,0.3,0,0.2,0.0 0.1 0.0,,,,,,,,,,,,,,,
Summary by Level,,#,Ave,A AB B BC C D,F,S,U,CR,N,P,I,NW NR Other,,,,,,,,,,,,,,,
266 COMP SCI,,Grades,GPA,,,,,,,,,,,,,,,,,,,,,,,,
Freshmen,,328,3.11,32.3 17.7 27.7 11.3 5.5 2.1,3,0.3,0,0,0,0,,.  .  .  .,,,,,,,,,,,,,,,
Sophomore,,773,3.052,27.9 15.5 27.7 11.6 10.3 1.9,2.6,0,0,2.1,0.3,0,,.  .  .  .,,,,,,,,,,,,,,,
Junior,,1113,3.039,26.0 15.7 28.0 12.0 8.6 3.1,2.7,0,0.2,2.6,0.9,0,0.1,.  .  .,,,,,,,,,,,,,,,
Senior,,1579,3.079,27.8 17.9 22.4 12.4 11.5 3.2,1.1,0.5,0,2.3,0.2,0,0.3,0.1 0.1 0.1,,,,,,,,,,,,,,,
Undergraduates,,3793,3.065,27.7 16.8 25.6 12.0 9.9 2.8,2.1,0.2,0.1,2.1,0.4,0,0.2,0.1 0.0 0.0,,,,,,,,,,,,,,,
Special,,338,3.468,53.6 17.5 12.4 8.3 2.7 0.6,3,0.6,0,0.9,0,0,,.  .  0.3 0.3,,,,,,,,,,,,,,,
Graduate,,1167,3.704,50.2 17.1 10.0 1.2 0.5 0.1,0.2,19.7,0.1,0.3,0.1,0.2,0.2,.  0.2 .,,,,,,,,,,,,,,,
,Dept. Total,5298,3.21,34.3 16.9 21.3 9.4 7.4 2.1,1.7,4.5,0.1,1.6,0.3,0,0.2,0.0 0.1 0.0,,,,,,,,,,,,,,,
